tweetid,sentiment
169760,2
35326,2
224985,2
476263,2
872928,1
75639,2
211536,2
569434,2
315368,3
591733,2
91983,2
67249,2
143459,0
663535,1
20476,1
815297,1
274098,2
30045,0
681487,0
708966,2
393689,1
186705,2
233977,3
525794,2
863649,1
315964,1
588985,2
669979,2
137059,2
556915,1
951973,2
72939,1
205796,1
478581,0
453375,2
555551,2
219030,1
546209,2
416919,2
433824,2
621526,1
616108,2
70943,2
153248,1
854719,1
616444,2
118418,2
846132,2
443106,0
758958,2
376412,2
667731,2
222107,2
349545,2
284026,2
564727,2
522979,1
460970,1
371750,0
251299,0
485211,2
502976,2
623282,1
217605,2
225330,2
58854,0
723671,2
366409,2
704565,2
655925,1
717618,3
922449,3
729885,2
599133,1
89885,1
249039,2
440750,1
18663,2
314549,2
643414,2
61835,1
659073,2
178597,0
152298,2
581943,0
781913,2
336886,2
624852,0
655116,0
5591,2
731620,1
872882,3
320393,2
353463,2
816508,3
636325,0
53058,1
725589,2
693559,2
66255,0
218797,1
307092,2
188557,0
137392,1
597086,2
96006,2
330509,2
78639,2
536231,2
304814,2
553696,2
455898,1
745466,2
846719,2
722710,1
989172,2
492079,3
315869,1
32675,2
959684,0
641938,2
933443,0
458401,1
554994,1
461467,2
902353,2
178794,1
387356,2
380276,0
824355,0
685606,2
85488,1
50608,3
447977,3
943930,2
183083,3
359626,2
810128,2
380913,1
516209,1
993538,2
594772,2
22428,2
991876,1
504172,2
283272,1
914599,1
752129,2
701957,1
858489,1
221704,2
409406,1
468372,2
818509,2
204729,3
394896,1
397593,3
465474,2
450344,2
502719,1
816499,2
291002,2
301225,2
402773,0
81233,2
642569,0
900041,1
67900,0
237131,2
311030,0
975455,1
69232,0
156024,0
268543,2
586693,0
709157,1
582003,2
689136,2
953619,2
971710,1
809619,2
595597,3
274499,2
771063,2
597739,2
110053,2
723442,2
881554,1
704923,1
822018,2
505322,2
120776,1
404757,1
811053,2
317696,2
734766,2
841196,2
400682,3
649511,2
740566,1
798359,1
861578,2
5417,2
609894,1
174874,2
227482,2
316886,2
112798,2
44507,2
444423,2
878768,2
951095,2
970445,2
208227,2
545402,1
498559,0
454769,2
490905,2
343981,1
891649,2
794296,2
669149,2
104997,3
54711,2
756770,2
632633,2
882503,1
604089,2
37591,1
304290,0
167356,1
398680,1
268980,2
485450,1
246743,2
83632,1
804653,2
614272,2
699619,2
128361,2
617614,0
756863,0
550624,0
971913,0
597102,2
468901,2
512603,1
869,2
135515,1
471002,1
76054,1
835455,0
593722,1
209903,2
311687,2
38624,2
140169,2
50739,2
134179,0
368885,1
955073,3
642519,0
849811,1
377434,1
61946,0
128149,1
545779,2
145812,3
839220,2
23630,2
631635,1
659284,1
636800,0
246233,3
224961,1
227170,1
24500,2
444613,2
173797,2
183700,2
305251,2
487336,1
521403,2
741971,2
171732,0
354162,2
572875,2
337961,1
39327,2
666488,0
686787,2
248289,1
644357,1
106812,2
492300,2
929522,2
827492,1
92888,0
748860,2
544547,2
970736,2
805808,0
320551,2
210944,1
109631,1
251292,1
170364,1
948426,2
780776,1
693604,1
799998,1
373943,1
593149,2
264289,0
479344,1
820909,1
492817,1
831733,2
405413,2
685176,2
982870,1
92655,2
929710,2
365298,1
597644,2
908494,0
532450,2
431470,1
261786,1
126953,3
157454,2
911863,2
968491,2
341684,0
868000,0
937870,2
196243,0
749947,1
10201,1
861465,2
418775,2
561942,2
61831,3
224428,2
470738,1
694377,1
557591,0
504856,1
988980,2
811937,2
78955,1
166783,2
2520,2
268418,2
911873,2
380946,1
841067,1
760341,2
872864,3
833511,0
795400,2
947288,2
97754,1
848402,1
77036,2
280663,1
654324,2
105628,3
227665,0
169839,2
334216,1
502105,1
174279,2
193681,2
457324,1
562231,1
254480,2
432635,0
916814,2
217862,1
454694,2
512554,2
249736,2
979904,0
841942,1
141852,2
279014,2
511552,0
502057,2
822243,2
586976,2
870627,2
809260,2
258979,2
342572,3
833715,2
63205,2
327,3
286773,2
831328,2
265516,2
988076,1
92963,2
813089,2
372840,3
460869,2
700900,3
54421,2
83811,2
932229,1
14731,2
416245,1
91717,3
37782,1
168950,1
791767,2
612474,1
863569,2
833620,2
831050,1
327186,2
70954,2
744906,2
410805,2
321290,2
560166,1
199999,2
520958,3
486093,2
433768,2
170942,2
97769,2
574580,1
427983,1
536786,2
64572,2
932658,2
875904,2
388184,1
448406,1
280094,0
196585,2
297123,2
583405,1
749358,2
8540,0
92130,0
682459,1
493774,2
81514,2
937131,2
683822,2
181932,0
185061,0
718905,2
467768,1
50360,2
37282,2
324725,2
587613,1
759085,2
995304,1
62430,1
959472,2
134816,1
443799,0
84144,2
626595,0
382192,2
249680,2
209100,2
505060,2
510212,1
454150,3
900706,2
355447,1
415557,2
431394,2
796461,2
551013,1
71926,2
260753,1
883406,1
973790,2
673020,3
573493,0
850799,1
596499,1
430720,2
970612,2
645141,0
122672,1
572212,1
590281,2
185082,1
643999,0
276142,2
522428,2
242869,2
859835,2
179238,2
830861,2
659715,2
742214,3
44768,2
156753,2
689726,2
659825,2
805236,2
484743,2
843791,3
401342,2
268165,0
450971,0
969588,2
493909,0
775367,0
102955,2
356595,1
860992,1
478186,2
235851,0
859554,3
383555,1
568803,1
522415,1
493050,1
568528,2
371027,2
554560,2
969599,1
70097,1
898167,3
483103,0
773089,2
436540,2
214657,1
824653,2
132616,3
962166,1
357327,2
183595,2
338190,2
821753,2
782634,0
355771,2
102889,2
335544,2
417438,2
99418,2
774033,2
151834,2
573075,2
675187,2
488287,2
317596,2
848773,1
177318,0
743728,2
166017,3
668192,2
242646,2
572824,1
516374,1
569974,2
368987,2
35989,2
439267,2
425036,1
978741,2
161511,2
158819,3
225262,2
398562,1
940439,1
657384,2
348631,0
950221,2
390207,2
633050,1
45603,0
892219,3
763551,1
219247,0
78219,2
106376,1
664990,3
61204,1
444521,2
162744,2
10394,0
107336,2
400960,2
157258,3
762553,3
398197,2
513701,2
450710,2
192494,0
376697,2
466375,1
600809,2
337306,2
597597,2
282282,3
619747,1
848426,0
468720,1
954154,1
544640,1
192358,2
768797,2
817583,0
864589,1
104220,2
725297,3
973859,1
942269,0
145192,2
965827,2
861437,1
296887,2
817495,2
273994,1
799474,1
177872,2
532392,2
770417,2
706812,2
193396,1
863034,2
967152,1
948038,1
608126,2
412897,2
970466,1
604868,2
94532,2
820173,1
833762,0
604371,3
961064,2
419528,2
79982,0
564369,2
489017,1
887262,1
402712,1
963864,2
854765,1
331759,2
26332,0
238943,2
431614,3
329434,3
680680,1
39578,1
670432,2
371166,3
686203,0
118985,1
263823,2
275604,2
390449,1
553573,2
159171,3
172630,2
867879,2
555667,2
107607,2
671813,2
29467,2
424298,3
247885,0
66440,2
794065,2
383354,0
73974,2
597362,1
873587,1
