tweetid,sentiment
169760,2
35326,2
224985,2
476263,2
872928,1
75639,2
211536,2
569434,2
315368,3
591733,2
91983,2
67249,2
143459,2
663535,1
20476,1
815297,1
274098,2
30045,2
681487,0
708966,3
393689,1
186705,2
233977,2
525794,2
863649,1
315964,1
588985,1
669979,2
137059,1
556915,1
951973,3
72939,1
205796,1
478581,0
453375,2
555551,2
219030,1
546209,1
416919,1
433824,2
621526,2
616108,0
70943,2
153248,1
854719,1
616444,2
118418,2
846132,2
443106,2
758958,1
376412,2
667731,2
222107,3
349545,2
284026,2
564727,2
522979,1
460970,0
371750,2
251299,2
485211,1
502976,2
623282,1
217605,2
225330,2
58854,0
723671,2
366409,2
704565,2
655925,1
717618,3
922449,3
729885,2
599133,1
89885,1
249039,2
440750,1
18663,2
314549,2
643414,1
61835,1
659073,3
178597,1
152298,2
581943,0
781913,2
336886,2
624852,3
655116,2
5591,2
731620,1
872882,3
320393,2
353463,2
816508,3
636325,0
53058,0
725589,2
693559,2
66255,3
218797,1
307092,2
188557,1
137392,1
597086,2
96006,2
330509,2
78639,1
536231,3
304814,2
553696,2
455898,1
745466,2
846719,2
722710,1
989172,2
492079,3
315869,1
32675,0
959684,0
641938,2
933443,0
458401,1
554994,1
461467,0
902353,2
178794,1
387356,2
380276,2
824355,2
685606,0
85488,1
50608,2
447977,3
943930,2
183083,1
359626,3
810128,2
380913,1
516209,2
993538,2
594772,2
22428,1
991876,1
504172,2
283272,1
914599,1
752129,2
701957,1
858489,1
221704,2
409406,1
468372,2
818509,1
204729,1
394896,1
397593,3
465474,0
450344,2
502719,1
816499,2
291002,2
301225,1
402773,1
81233,2
642569,0
900041,1
67900,0
237131,2
311030,1
975455,1
69232,2
156024,2
268543,1
586693,2
709157,1
582003,2
689136,1
953619,3
971710,1
809619,2
595597,2
274499,1
771063,2
597739,2
110053,2
723442,1
881554,1
704923,1
822018,2
505322,2
120776,1
404757,0
811053,2
317696,2
734766,2
841196,2
400682,3
649511,2
740566,1
798359,2
861578,2
5417,2
609894,1
174874,2
227482,2
316886,2
112798,2
44507,0
444423,2
878768,2
951095,2
970445,2
208227,1
545402,1
498559,2
454769,1
490905,2
343981,1
891649,1
794296,1
669149,2
104997,3
54711,2
756770,1
632633,2
882503,1
604089,2
37591,1
304290,0
167356,1
398680,2
268980,1
485450,1
246743,2
83632,0
804653,2
614272,2
699619,2
128361,1
617614,2
756863,0
550624,2
971913,2
597102,2
468901,2
512603,1
869,2
135515,1
471002,1
76054,1
835455,0
593722,1
209903,2
311687,2
38624,1
140169,1
50739,3
134179,1
368885,1
955073,3
642519,2
849811,1
377434,1
61946,0
128149,1
545779,2
145812,1
839220,2
23630,1
631635,1
659284,1
636800,0
246233,3
224961,2
227170,1
24500,2
444613,2
173797,2
183700,2
305251,1
487336,1
521403,1
741971,2
171732,0
354162,3
572875,2
337961,1
39327,2
666488,2
686787,2
248289,1
644357,1
106812,2
492300,2
929522,1
827492,1
92888,0
748860,2
544547,0
970736,2
805808,2
320551,1
210944,1
109631,3
251292,1
170364,1
948426,2
780776,1
693604,1
799998,1
373943,1
593149,2
264289,2
479344,1
820909,2
492817,1
831733,2
405413,2
685176,2
982870,1
92655,2
929710,2
365298,1
597644,2
908494,0
532450,2
431470,1
261786,1
126953,3
157454,1
911863,2
968491,2
341684,0
868000,2
937870,2
196243,2
749947,0
10201,1
861465,2
418775,2
561942,2
61831,3
224428,2
470738,1
694377,1
557591,2
504856,0
988980,2
811937,2
78955,1
166783,2
2520,2
268418,2
911873,2
380946,1
841067,0
760341,2
872864,3
833511,2
795400,2
947288,1
97754,0
848402,1
77036,2
280663,1
654324,2
105628,1
227665,2
169839,2
334216,1
502105,1
174279,2
193681,1
457324,1
562231,0
254480,2
432635,2
916814,2
217862,1
454694,2
512554,2
249736,2
979904,2
841942,1
141852,2
279014,2
511552,2
502057,1
822243,1
586976,2
870627,2
809260,2
258979,2
342572,1
833715,1
63205,2
327,1
286773,2
831328,0
265516,2
988076,1
92963,2
813089,2
372840,3
460869,2
700900,3
54421,2
83811,2
932229,2
14731,2
416245,0
91717,3
37782,2
168950,3
791767,2
612474,1
863569,2
833620,2
831050,1
327186,1
70954,1
744906,2
410805,1
321290,1
560166,1
199999,2
520958,2
486093,2
433768,2
170942,1
97769,2
574580,1
427983,1
536786,2
64572,2
932658,2
875904,2
388184,1
448406,1
280094,2
196585,1
297123,2
583405,1
749358,0
8540,0
92130,0
682459,1
493774,2
81514,2
937131,2
683822,1
181932,0
185061,2
718905,1
467768,2
50360,2
37282,0
324725,0
587613,1
759085,2
995304,1
62430,1
959472,2
134816,0
443799,2
84144,1
626595,0
382192,2
249680,2
209100,1
505060,2
510212,1
454150,2
900706,2
355447,1
415557,2
431394,2
796461,2
551013,0
71926,2
260753,1
883406,1
973790,2
673020,3
573493,2
850799,1
596499,1
430720,0
970612,2
645141,2
122672,1
572212,0
590281,2
185082,1
643999,0
276142,1
522428,2
242869,2
859835,1
179238,1
830861,2
659715,2
742214,3
44768,2
156753,2
689726,1
659825,0
805236,2
484743,2
843791,1
401342,2
268165,2
450971,2
969588,1
493909,2
775367,0
102955,2
356595,1
860992,0
478186,1
235851,0
859554,3
383555,1
568803,1
522415,1
493050,0
568528,2
371027,2
554560,2
969599,1
70097,2
898167,1
483103,3
773089,2
436540,2
214657,1
824653,2
132616,3
962166,1
357327,2
183595,1
338190,2
821753,2
782634,2
355771,2
102889,2
335544,3
417438,2
99418,2
774033,2
151834,2
573075,2
675187,2
488287,2
317596,2
848773,1
177318,2
743728,2
166017,3
668192,2
242646,2
572824,1
516374,1
569974,2
368987,1
35989,2
439267,1
425036,1
978741,2
161511,1
158819,3
225262,2
398562,1
940439,1
657384,2
348631,2
950221,2
390207,1
633050,1
45603,0
892219,3
763551,1
219247,0
78219,2
106376,1
664990,3
61204,1
444521,1
162744,3
10394,0
107336,2
400960,3
157258,3
762553,3
398197,2
513701,1
450710,2
192494,0
376697,1
466375,1
600809,2
337306,2
597597,2
282282,3
619747,1
848426,0
468720,1
954154,1
544640,1
192358,1
768797,2
817583,1
864589,1
104220,2
725297,3
973859,1
942269,0
145192,1
965827,1
861437,1
296887,2
817495,2
273994,1
799474,1
177872,2
532392,2
770417,2
706812,0
193396,0
863034,1
967152,1
948038,1
608126,0
412897,1
970466,1
604868,2
94532,2
820173,0
833762,2
604371,2
961064,2
419528,2
79982,2
564369,1
489017,1
887262,1
402712,1
963864,2
854765,1
331759,2
26332,2
238943,2
431614,3
329434,1
680680,2
39578,1
670432,2
371166,3
686203,3
118985,1
263823,1
275604,2
390449,1
553573,1
159171,3
172630,0
867879,2
555667,0
107607,1
671813,2
29467,2
424298,3
247885,0
66440,2
794065,1
383354,1
73974,2
597362,0
873587,1
